Epoch,Training Loss,Validation Loss
439,4.325971531216055e-06,
440,4.3203467612329405e-06,
441,4.333406650403049e-06,
442,4.338468897913117e-06,
443,4.282059308025055e-06,
444,4.286584498913726e-06,
445,4.2876031329797115e-06,
446,4.267578333383426e-06,
447,4.2755673348437995e-06,
448,4.280295797798317e-06,
449,4.2651172407204285e-06,
450,4.257748059899313e-06,
451,4.196856934868265e-06,
452,4.1903458622982726e-06,
453,4.215169610688463e-06,
454,4.197306679998292e-06,
455,4.2107453737116884e-06,
456,4.199670001980849e-06,
457,4.1847706597764045e-06,
458,4.179837560513988e-06,
459,4.189710580249084e-06,
460,4.18978015659377e-06,
461,4.164511210547062e-06,
462,4.108263965463266e-06,
463,4.168061877862783e-06,
464,4.140138571528951e-06,
465,4.115038791496772e-06,
466,4.114831426704768e-06,
467,4.172243734501535e-06,
468,4.118717697565444e-06,
469,4.123920916754287e-06,
470,4.082444775121985e-06,
471,4.085598448000383e-06,
472,4.073026957485126e-06,
473,4.077561243320815e-06,
474,4.083823114342522e-06,
475,4.041991360281827e-06,
476,4.077072844665963e-06,
477,4.060927949467441e-06,
478,4.035521214973414e-06,
479,4.066323072038358e-06,
480,4.041729880555067e-06,
481,4.0140998862625565e-06,
482,4.002730747743044e-06,
483,3.998858574050246e-06,
484,3.962738446716685e-06,
485,3.978816494054627e-06,
486,3.964089046348818e-06,
487,3.96431596527691e-06,
488,3.974072114942828e-06,
489,3.964642928622197e-06,
490,3.938012014259584e-06,
491,3.947224740841193e-06,
492,3.905254288838478e-06,
493,3.920418748748489e-06,
494,3.902792741428129e-06,
495,3.903376637026668e-06,
496,3.907668087776983e-06,
497,3.904832283296855e-06,
498,3.905460289388429e-06,
499,3.887238108291058e-06,
500,3.8669568311888725e-06,
501,3.83664792025229e-06,
502,3.85367411581683e-06,
503,3.8493371903314255e-06,
504,3.828214175882749e-06,
505,3.826324245892465e-06,
506,3.818306595348986e-06,
507,3.8113969367259415e-06,
508,3.7752383832412306e-06,
509,3.787558625845122e-06,
510,3.818872301053489e-06,
511,3.794756821662304e-06,
512,3.805392225331161e-06,
513,3.7873542169108987e-06,
514,3.770038347283844e-06,
515,3.766136160265887e-06,
516,3.7433635498018702e-06,
517,3.746333050003159e-06,
518,3.7752604384877486e-06,
519,3.7426912058435846e-06,
520,3.753208147827536e-06,
521,3.715050979735679e-06,
522,3.721322855199105e-06,
523,3.704943537741201e-06,
524,3.674971594591625e-06,
525,3.697301053762203e-06,
526,3.6872008877253393e-06,
527,3.677258973766584e-06,
528,3.6773178635485237e-06,
529,3.674140998555231e-06,
530,3.687994421852636e-06,
531,3.6631413422583137e-06,
532,3.6516319141810527e-06,
533,3.6287769944465254e-06,
534,3.6322817322798073e-06,
535,3.634456561485422e-06,
536,3.6608666960091796e-06,
537,3.6081421512790257e-06,
538,3.6017722777614836e-06,
539,3.615218929553521e-06,
540,3.6155722682451596e-06,
541,3.600121090130415e-06,
542,3.5786224543699063e-06,
543,3.5689899959834293e-06,
544,3.5675352592079435e-06,
545,3.5768246107181767e-06,
546,3.553507212927798e-06,
547,3.543371576597565e-06,
548,3.570719627532526e-06,
549,3.549438361005741e-06,
550,3.541721298461198e-06,
551,3.53564860233746e-06,
552,3.5555660815589363e-06,
553,3.507619339870871e-06,
554,3.5000653042516205e-06,
555,3.506626626403886e-06,
556,3.5175419270672137e-06,
557,3.5064263101958204e-06,
558,3.4816639526979998e-06,
559,3.473319338809233e-06,
560,3.464064320723992e-06,
561,3.4562190194264986e-06,
562,3.5002944969164673e-06,
563,3.4569634408398997e-06,
564,3.448215466050897e-06,
565,3.441714397922624e-06,
566,3.4515169318183325e-06,
567,3.4288905226276256e-06,
568,3.41586542162986e-06,
569,3.4001659514615312e-06,
570,3.41096892952919e-06,
571,3.3947408155654557e-06,
572,3.3989056191785494e-06,
573,3.380337830094504e-06,
574,3.4066886200889712e-06,
575,3.381155920578749e-06,
576,3.3700018775562057e-06,
577,3.3463893487351015e-06,
578,3.359966285643168e-06,
579,3.36187827087997e-06,
580,3.3529570373502793e-06,
581,3.3484411687823012e-06,
582,3.32173431161209e-06,
583,3.359349875609041e-06,
584,3.3444821383454837e-06,
585,3.306820190118742e-06,
586,3.3013866413966753e-06,
587,3.30249463331711e-06,
588,3.3066257856262382e-06,
589,3.285230377514381e-06,
590,3.2899095003813272e-06,
591,3.279895281593781e-06,
592,3.3058570352295646e-06,
593,3.2602122246316867e-06,
594,3.2725470191508066e-06,
595,3.2591819945082534e-06,
596,3.2509510674572084e-06,
597,3.255326191720087e-06,
598,3.255198862461839e-06,
599,3.2260193165711826e-06,
600,3.2449618174723582e-06,
601,3.208011094102403e-06,
602,3.2029563499236247e-06,
603,3.2214491056947736e-06,
604,3.206697783753043e-06,
605,3.194409600837389e-06,
606,3.1612353268428706e-06,
607,3.189549943272141e-06,
608,3.1885469979897607e-06,
609,3.1855074666964356e-06,
610,3.1571671570418403e-06,
611,3.1649769880459644e-06,
612,3.1521465189143782e-06,
613,3.1366287203127285e-06,
614,3.1600129659636877e-06,
615,3.178386350555229e-06,
616,3.1433110052603297e-06,
617,3.148028554278426e-06,
618,3.1153770123637514e-06,
619,3.1072027013578918e-06,
620,3.124754812233732e-06,
621,3.0987198442744557e-06,
622,3.0863552638038527e-06,
623,3.0998469355836278e-06,
624,3.1097804367163917e-06,
625,3.082612010985031e-06,
626,3.0688524930155836e-06,
627,3.0745939056942007e-06,
628,3.069288823098759e-06,
629,3.0557480386050884e-06,
630,3.019743644472328e-06,
631,3.050763552892022e-06,
632,3.0325470561365364e-06,
633,3.045665607714909e-06,
634,3.0000496735738125e-06,
635,3.0204794256860623e-06,
636,3.0325836632982828e-06,
637,3.0311302907648496e-06,
638,3.0184019124135375e-06,
639,3.0175015126587823e-06,
640,2.9969942261232063e-06,
641,3.019481937371893e-06,
642,2.9861121220164932e-06,
643,2.9796135549986502e-06,
644,2.9836446628905833e-06,
645,2.9642112622241257e-06,
646,2.961610107377055e-06,
647,2.9648438157892087e-06,
648,2.9523682769649895e-06,
649,2.9860086669941666e-06,
650,2.9534764962591e-06,
651,2.968316948681604e-06,
652,2.9314073799469043e-06,
653,2.938058742074645e-06,
654,2.9595692012662767e-06,
655,2.9303855626494624e-06,
656,2.912972377089318e-06,
657,2.904154143834603e-06,
658,2.9259542770887492e-06,
659,2.898941147577716e-06,
660,2.8821398245781893e-06,
661,2.9008754154347116e-06,
