Epoch,Train Loss,Validation Loss
1,0.2957412898540497,0.28684136271476746
2,0.2866908609867096,0.27807024121284485
3,0.27736514806747437,0.26950234174728394
4,0.26838067173957825,0.2610674202442169
5,0.2595416307449341,0.25275126099586487
6,0.25103312730789185,0.24454768002033234
7,0.24249082803726196,0.23639194667339325
8,0.23428599536418915,0.22832900285720825
9,0.22592347860336304,0.22038806974887848
10,0.21806149184703827,0.21258951723575592
11,0.21026378870010376,0.20488184690475464
12,0.20256340503692627,0.1973111927509308
13,0.19514954090118408,0.18988172709941864
14,0.18774783611297607,0.1826065182685852
15,0.1804201453924179,0.17552416026592255
16,0.1737188994884491,0.16867683827877045
17,0.16684673726558685,0.1620998978614807
18,0.1602534055709839,0.15573151409626007
19,0.15399079024791718,0.14957080781459808
20,0.14802657067775726,0.14368321001529694
21,0.1425337940454483,0.13811762630939484
22,0.13760897517204285,0.1328851580619812
23,0.13255441188812256,0.1280752718448639
24,0.12806035578250885,0.12372688949108124
25,0.12439213693141937,0.11985469609498978
26,0.12094564735889435,0.11646794527769089
27,0.11797954887151718,0.11356258392333984
28,0.11562371999025345,0.11109592765569687
29,0.11364856362342834,0.10901396721601486
30,0.11192986369132996,0.10726816952228546
31,0.11071201413869858,0.105775848031044
32,0.10991856455802917,0.10444892942905426
33,0.1090756431221962,0.10321132838726044
34,0.1081242710351944,0.10198310017585754
35,0.10731443017721176,0.10071153193712234
36,0.1065959557890892,0.09936767816543579
37,0.10527687519788742,0.09791087359189987
38,0.1036229357123375,0.09633594751358032
39,0.10234937816858292,0.0946621298789978
40,0.10025335848331451,0.09291964769363403
41,0.09887640923261642,0.09113160520792007
42,0.09712270647287369,0.08932425826787949
43,0.09528066962957382,0.08752232789993286
44,0.09323197603225708,0.08574981242418289
45,0.09093352407217026,0.08401933312416077
46,0.08963090181350708,0.08233347535133362
47,0.08766531944274902,0.080692820250988
48,0.08597958832979202,0.07909490913152695
49,0.08446680754423141,0.07754094898700714
50,0.08282393217086792,0.07601994276046753
51,0.08116244524717331,0.07451248914003372
52,0.07975340634584427,0.07301216572523117
53,0.07827164977788925,0.07150810211896896
54,0.07662301510572433,0.06999833881855011
55,0.0749315544962883,0.06848351657390594
56,0.07375263422727585,0.06696683168411255
57,0.07202599942684174,0.0654519572854042
58,0.07050827145576477,0.06394688785076141
59,0.06918669492006302,0.062458209693431854
60,0.0677715539932251,0.060992300510406494
61,0.06617925316095352,0.05955823138356209
62,0.0647500678896904,0.05816059559583664
63,0.06329986453056335,0.05680496245622635
64,0.06193653494119644,0.055493347346782684
65,0.06058197095990181,0.054232385009527206
