Predicted_gap (scaled),Predicted_Lc (scaled)
0.23011298,0.08929984
0.2298692,0.09129914
0.2296159,0.0931191
0.22934659,0.09483255
0.22952235,0.09930695
0.22948432,0.10270303
0.22921777,0.104914635
0.22883168,0.10655933
0.22833952,0.107710026
0.2277558,0.10844431
0.22709444,0.10883706
0.22637044,0.108967245
0.22561058,0.10895065
0.22484829,0.1089241
0.22413197,0.109099895
0.22353235,0.10975634
0.22302428,0.11079837
0.22262517,0.11281324
0.2222841,0.11552536
0.22190773,0.11818315
0.22147626,0.12092972
0.22097111,0.12334846
0.22038041,0.12537462
0.21977648,0.12734061
0.21942447,0.12975451
0.21909058,0.13208391
0.2187615,0.13435149
0.2184715,0.13670251
0.21818057,0.13897368
0.21781676,0.14123124
0.21739689,0.14342853
0.21695404,0.14557502
0.21650639,0.14817974
0.21602942,0.15067476
0.21551886,0.15311149
0.21501526,0.15557519
0.21457882,0.15825343
0.21413329,0.16095018
0.213685,0.1636658
0.21324019,0.16635647
0.21274069,0.16893664
0.21226156,0.17153206
0.21183866,0.17409614
0.2114761,0.17658663
0.21103151,0.18081138
0.2105774,0.18519714
0.21021223,0.1896508
0.2100141,0.19365907
0.20976502,0.19717458
0.20940118,0.2003017
0.20895877,0.20318887
0.2084328,0.20580605
0.20786887,0.20806736
0.20726743,0.21018535
0.20679034,0.21259111
0.2061901,0.21479791
0.20536903,0.21716085
0.20442997,0.22004446
0.20352103,0.2229935
0.20263639,0.22600731
0.20180094,0.2291899
0.2010206,0.23285317
0.20019883,0.2366207
0.19939582,0.23988566
0.19869077,0.24258745
0.197981,0.24522406
0.19748117,0.24855077
0.19699013,0.25186476
0.19684333,0.25467885
0.19670829,0.25743845
0.19655852,0.26014653
0.19636986,0.26275972
0.19621131,0.26521528
0.19619915,0.26736507
0.19615728,0.2694721
0.19626243,0.27196637
0.19644137,0.2746723
0.1966244,0.27743715
0.19680259,0.2801818
0.1969676,0.282846
0.19713996,0.28548113
0.19731379,0.28808436
0.19752112,0.29051805
0.19773643,0.29286975
0.1980587,0.29576644
0.19839117,0.2987262
0.19856125,0.30143762
0.19853625,0.30372104
0.1985017,0.30602628
0.19846044,0.30835074
0.19853541,0.31122255
0.19861361,0.3141283
0.19868895,0.3170614
0.19853938,0.31957844
0.1983794,0.32210517
0.19822283,0.32461336
0.19806996,0.3270932
0.19801863,0.33002368
0.19798835,0.33305487
0.19794998,0.33607417
